ID,Person,Table,Library,Arrival,Departure,Num_Breaks,Break_Start,Break_End,fromStart,tillEnd,Neighbors,Known,yourName,yourTable,yourSeat
3664,4,C,Stacks,12:26:29 AM,12:12:32 AM,0,[],[],1,0,"[(8, 3176), (6, 6161), (3, 1246)]","[(8, 3176), (3, 1246)]",Max,C,1
3176,8,C,Stacks,12:26:29 AM,12:12:32 AM,1,"[datetime.datetime(2019, 4, 24, 20, 28, 50, 788126)]","[datetime.datetime(2019, 4, 24, 20, 33, 41, 261590)]",1,0,"[(4, 3664), (6, 6161), (3, 1246)]","[(4, 3664), (3, 1246)]",Max,C,1
6161,6,C,Stacks,12:28:11 AM,12:34:09 AM,1,"[datetime.datetime(2019, 4, 24, 23, 14, 52, 435959)]","[datetime.datetime(2019, 4, 24, 23, 20, 28, 305874)]",0,0,"[(4, 3664), (8, 3176), (3, 1246)]",[],Max,C,1
1246,3,C,Stacks,12:00:59 AM,12:03:01 AM,0,[],[],0,0,"[(4, 3664), (8, 3176), (6, 6161)]","[(4, 3664), (8, 3176)]",Max,C,1
5826,2,D,Stacks,12:26:29 AM,12:56:40 AM,2,"[datetime.datetime(2019, 4, 24, 20, 30, 51, 85899), datetime.datetime(2019, 4, 24, 21, 20, 29, 915824)]","[datetime.datetime(2019, 4, 24, 20, 36, 44, 950408), datetime.datetime(2019, 4, 24, 21, 26, 9, 739253)]",1,0,"[(6, 7829), (4, 4745), (1, 8764), (7, 8713)]","[(6, 7829)]",Max,C,1
7829,6,D,Stacks,12:26:29 AM,12:04:41 AM,3,"[datetime.datetime(2019, 4, 24, 21, 1, 22, 462491), datetime.datetime(2019, 4, 24, 21, 37, 43, 371657), datetime.datetime(2019, 4, 24, 23, 18, 11, 178892)]","[datetime.datetime(2019, 4, 24, 21, 7, 44, 911253), datetime.datetime(2019, 4, 24, 21, 41, 36, 258945), datetime.datetime(2019, 4, 24, 23, 24, 51, 322303)]",1,1,"[(2, 5826), (4, 4745), (1, 8764), (7, 8713)]","[(2, 5826)]",Max,C,1
4745,4,D,Stacks,12:35:13 AM,12:12:12 AM,0,[],[],0,0,"[(2, 5826), (6, 7829), (1, 8764), (7, 8713)]",[],Max,C,1
8764,1,D,Stacks,12:50:23 AM,12:04:41 AM,1,"[datetime.datetime(2019, 4, 24, 20, 54, 53, 126017)]","[datetime.datetime(2019, 4, 24, 21, 16, 39, 693856)]",0,1,"[(2, 5826), (6, 7829), (4, 4745), (7, 8713)]",[],Max,C,1
8713,7,D,Stacks,12:42:24 AM,12:04:41 AM,0,[],[],0,1,"[(2, 5826), (6, 7829), (4, 4745), (1, 8764)]",[],Max,C,1
4451,1,E,Stacks,12:18:51 AM,12:04:41 AM,0,"[datetime.datetime(2019, 4, 24, 23, 44, 42, 726751)]",[],0,1,"[(2, 1480), (4, 9320)]","[(2, 1480), (4, 9320)]",Max,C,1
1480,2,E,Stacks,12:18:51 AM,12:42:27 AM,1,"[datetime.datetime(2019, 4, 24, 23, 28, 50, 342631)]","[datetime.datetime(2019, 4, 24, 23, 33, 32, 984039)]",0,0,"[(1, 4451), (4, 9320)]","[(1, 4451)]",Max,C,1
9320,4,E,Stacks,12:18:51 AM,12:04:41 AM,0,[],[],0,1,"[(1, 4451), (2, 1480)]","[(1, 4451)]",Max,C,1
1201,2,F,Stacks,12:26:29 AM,12:42:34 AM,1,"[datetime.datetime(2019, 4, 24, 20, 30, 51, 85899)]","[datetime.datetime(2019, 4, 24, 20, 32, 52, 922794)]",1,0,"[(5, 5053), (8, 1517), (1, 5519)]","[(1, 5519), (5, 5053)]",Max,C,1
5053,5,F,Stacks,12:26:29 AM,12:42:34 AM,1,"[datetime.datetime(2019, 4, 24, 20, 36, 44, 950408)]","[datetime.datetime(2019, 4, 24, 20, 40, 53, 359577)]",1,0,"[(2, 1201), (8, 1517), (1, 5519)]","[(1, 5519), (2, 1201)]",Max,C,1
1517,8,F,Stacks,12:26:29 AM,12:28:55 AM,0,[],[],1,0,"[(2, 1201), (5, 5053), (1, 5519), (1, 9698), (5, 7025), (6, 1146)]",[],Max,C,1
5519,1,F,Stacks,12:38:09 AM,12:42:34 AM,0,[],[],0,0,"[(2, 1201), (5, 5053), (8, 1517)]","[(2, 1201), (5, 5053)]",Max,C,1
9698,1,F,Stacks,12:00:16 AM,12:32:42 AM,0,[],[],0,0,"[(8, 1517), (5, 7025), (6, 1146), (4, 8439)]",[],Max,C,1
7025,5,F,Stacks,12:02:00 AM,12:32:10 AM,0,[],[],0,0,"[(8, 1517), (1, 9698), (6, 1146), (4, 8439)]","[(6, 1146)]",Max,C,1
1146,6,F,Stacks,12:02:00 AM,12:10:37 AM,0,[],[],0,0,"[(8, 1517), (1, 9698), (5, 7025), (4, 8439)]","[(5, 7025)]",Max,C,1
8439,4,F,Stacks,12:49:37 AM,12:14:09 AM,0,[],[],0,0,"[(1, 9698), (5, 7025), (6, 1146), (6, 9390)]",[],Max,C,1
9390,6,F,Stacks,12:11:11 AM,12:04:41 AM,0,[],[],0,1,"[(4, 8439), (8, 5689)]",[],Max,C,1
5689,8,F,Stacks,12:33:33 AM,12:43:25 AM,0,[],[],0,0,"[(6, 9390)]",[],Max,C,1
4172,1,Q,Stacks,12:26:29 AM,12:04:34 AM,0,[],[],1,0,"[(2, 2625),(3, 3493)]",[],Max,C,1
2625,1,Q,Stacks,12:51:17 AM,12:04:41 AM,0,[],[],0,1,[],[],Max,C,1
8619,2,Q,Stacks,12:27:50 AM,12:07:00 AM,0,[],[],0,0,"[(1, 4172),(2, 2625)]",[],Max,C,1
3493,3,Q,Stacks,12:26:29 AM,12:13:56 AM,0,[],[],1,0,"[(1, 4172),(2, 2625)]",[],Max,C,1
4129,1,R,Stacks,12:11:59 AM,12:02:18 AM,1,"[datetime.datetime(2019, 4, 24, 21, 32, 26, 700463)]","[datetime.datetime(2019, 4, 24, 21, 33, 4, 898495)]",0,0,[],[],Max,C,1
5272,3,R,Stacks,12:12:14 AM,12:54:32 AM,0,[],[],0,0,[],[],Max,C,1
8240,3,R,Stacks,12:04:06 AM,12:04:41 AM,0,[],[],0,1,"[(2, 2440)]","[(2, 2440)]",Max,C,1
2440,2,R,Stacks,12:34:21 AM,12:04:41 AM,0,[],[],0,1,"[(3, 8240)]","[(3, 8240)]",Max,C,1